code,mun,municipio,poblacion,p2005
ib22,134,San Felipe Jalapa de Díaz,26838,23059
mdj6,135,San Felipe Tejalápam,7187,6164
kcb4,136,San Felipe Usila,11575,10258
pj51,137,San Francisco Cahuacuá,3427,2976
dvx6,138,San Francisco Cajonos,460,392
nr46,139,San Francisco Chapulapa,2136,1749
kil4,140,San Francisco Chindúa,827,693
bn34,141,San Francisco del Mar,7232,6182
of58,142,San Francisco Huehuetlán,1160,1049
xrv3,143,San Francisco Ixhuatán,8959,7995
uq46,144,San Francisco Jaltepetongo,1110,948
wgh7,145,San Francisco Lachigoló,3474,2869
bo34,146,San Francisco Logueche,2666,2326
coi1,147,San Francisco Nuxaño,378,319
tx27,148,San Francisco Ozolotepec,1945,1677
af42,149,San Francisco Sola,1509,1286
xev8,150,San Francisco Telixtlahuaca,11893,10364
cs99,151,San Francisco Teopan,394,359
ltv2,152,San Francisco Tlapancingo,2152,1838
mqt7,153,San Gabriel Mixtepec,4733,4062
xgc8,154,San Ildefonso Amatlán,2393,1900
og89,155,San Ildefonso Sola,940,816
rn35,156,San Ildefonso Villa Alta,3478,3056
hb39,157,San Jacinto Amilpas,13860,11572
tys4,158,San Jacinto Tlacotepec,2231,2002
pf22,159,San Jerónimo Coatlán,5449,4693
svd7,160,San Jerónimo Silacayoapilla,1449,1174
qmk3,161,San Jerónimo Sosola,2559,2223
ok07,162,San Jerónimo Taviche,1848,1557
cfa8,163,San Jerónimo Tecóatl,1606,1301
umq5,164,San Jorge Nuchita,3215,2766
ic06,165,San José Ayuquila,1511,1217
pk92,166,San José Chiltepec,11019,9542
yu43,167,San José del Peñasco,2094,1726
sx77,168,San José Estancia Grande,977,800
br41,169,San José Independencia,3684,3249
bnd5,170,San José Lachiguiri,3849,3369
nx42,171,San José Tenango,18478,16033
no23,172,San Juan Achiutla,430,386
nv35,173,San Juan Atepec,1517,1326
mo33,174,Ánimas Trujano,3759,3330
fj83,175,San Juan Bautista Atatlahuca,1724,1543
nl71,176,San Juan Bautista Coixtlahuaca,2808,2432
enj1,177,San Juan Bautista Cuicatlán,9441,8293
en72,178,San Juan Bautista Guelache,6287,5389
srs1,179,San Juan Bautista Jayacatlán,1462,1278
dwc3,180,San Juan Bautista Lo de Soto,2325,1928
ir65,181,San Juan Bautista Suchitepec,417,372
wxb3,182,San Juan Bautista Tlacoatzintepec,2292,1952
